Year,Month,Month-number,Data_Item,Value,Units
2012,December,12,Choice beef net farm value,267.0478633,Cents per pound of retail equivalent
2013,January,1,Choice beef net farm value,263.8438504,Cents per pound of retail equivalent
2013,February,2,Choice beef net farm value,262.7854883,Cents per pound of retail equivalent
2013,March,3,Choice beef net farm value,266.468828,Cents per pound of retail equivalent
2013,April,4,Choice beef net farm value,267.5117764,Cents per pound of retail equivalent
2013,May,5,Choice beef net farm value,270.4696906,Cents per pound of retail equivalent
2013,June,6,Choice beef net farm value,264.7495312,Cents per pound of retail equivalent
2013,July,7,Choice beef net farm value,248.0249872,Cents per pound of retail equivalent
2013,August,8,Choice beef net farm value,252.5963288,Cents per pound of retail equivalent
2013,September,9,Choice beef net farm value,264.1918729,Cents per pound of retail equivalent
2013,October,10,Choice beef net farm value,274.4256813,Cents per pound of retail equivalent
2013,November,11,Choice beef net farm value,277.4657325,Cents per pound of retail equivalent
2013,December,12,Choice beef net farm value,278.2408684,Cents per pound of retail equivalent
2014,January,1,Choice beef net farm value,297.12922,Cents per pound of retail equivalent
2014,February,2,Choice beef net farm value,310.4043374,Cents per pound of retail equivalent
2014,March,3,Choice beef net farm value,320.1575556,Cents per pound of retail equivalent
2014,April,4,Choice beef net farm value,311.6430859,Cents per pound of retail equivalent
2014,May,5,Choice beef net farm value,304.8547816,Cents per pound of retail equivalent
2014,June,6,Choice beef net farm value,318.9960629,Cents per pound of retail equivalent
2014,July,7,Choice beef net farm value,338.8859647,Cents per pound of retail equivalent
2014,August,8,Choice beef net farm value,336.492868,Cents per pound of retail equivalent
2014,September,9,Choice beef net farm value,345.0609859,Cents per pound of retail equivalent
2014,October,10,Choice beef net farm value,352.9990567,Cents per pound of retail equivalent
2014,November,11,Choice beef net farm value,367.0223803,Cents per pound of retail equivalent
2014,December,12,Choice beef net farm value,350.2603256,Cents per pound of retail equivalent
2015,January,1,Choice beef net farm value,355.6802176,Cents per pound of retail equivalent
2015,February,2,Choice beef net farm value,345.8123546,Cents per pound of retail equivalent
2015,March,3,Choice beef net farm value,352.3166661,Cents per pound of retail equivalent
2015,April,4,Choice beef net farm value,352.7917843,Cents per pound of retail equivalent
2015,May,5,Choice beef net farm value,351.9453912,Cents per pound of retail equivalent
2015,June,6,Choice beef net farm value,331.055973,Cents per pound of retail equivalent
2015,July,7,Choice beef net farm value,326.8383592,Cents per pound of retail equivalent
2015,August,8,Choice beef net farm value,327.8556417,Cents per pound of retail equivalent
2015,September,9,Choice beef net farm value,297.1513074,Cents per pound of retail equivalent
2015,October,10,Choice beef net farm value,292.2028557,Cents per pound of retail equivalent
2015,November,11,Choice beef net farm value,281.7260081,Cents per pound of retail equivalent
2015,December,12,Choice beef net farm value,273.0433749,Cents per pound of retail equivalent
2016,January,1,Choice beef net farm value,297.9434756,Cents per pound of retail equivalent
2016,February,2,Choice beef net farm value,297.5904684,Cents per pound of retail equivalent
2016,March,3,Choice beef net farm value,299.7677825,Cents per pound of retail equivalent
2016,April,4,Choice beef net farm value,285.3817724,Cents per pound of retail equivalent
2016,May,5,Choice beef net farm value,284.8120295,Cents per pound of retail equivalent
2016,June,6,Choice beef net farm value,268.8774011,Cents per pound of retail equivalent
2016,July,7,Choice beef net farm value,254.9507975,Cents per pound of retail equivalent
2016,August,8,Choice beef net farm value,252.9028516,Cents per pound of retail equivalent
2016,September,9,Choice beef net farm value,227.3661035,Cents per pound of retail equivalent
2016,October,10,Choice beef net farm value,218.4796464,Cents per pound of retail equivalent
2016,November,11,Choice beef net farm value,234.669465,Cents per pound of retail equivalent
2016,December,12,Choice beef net farm value,244.9850048,Cents per pound of retail equivalent
2017,January,1,Choice beef net farm value,258.7435398,Cents per pound of retail equivalent
2017,February,2,Choice beef net farm value,261.2278096,Cents per pound of retail equivalent
2017,March,3,Choice beef net farm value,275.4676603,Cents per pound of retail equivalent
2017,April,4,Choice beef net farm value,284.3250373,Cents per pound of retail equivalent
2017,May,5,Choice beef net farm value,303.318239,Cents per pound of retail equivalent
2017,June,6,Choice beef net farm value,290.0943595,Cents per pound of retail equivalent
2017,July,7,Choice beef net farm value,258.4787879,Cents per pound of retail equivalent
2017,August,8,Choice beef net farm value,241.1441094,Cents per pound of retail equivalent
2017,September,9,Choice beef net farm value,232.8183509,Cents per pound of retail equivalent
2017,October,10,Choice beef net farm value,246.9800709,Cents per pound of retail equivalent
2017,November,11,Choice beef net farm value,267.4974921,Cents per pound of retail equivalent
2017,December,12,Choice beef net farm value,261.6767193,Cents per pound of retail equivalent
2018,January,1,Choice beef net farm value,268.5874822,Cents per pound of retail equivalent
2018,February,2,Choice beef net farm value,281.0345938,Cents per pound of retail equivalent
2018,March,3,Choice beef net farm value,275.6322639,Cents per pound of retail equivalent
2018,April,4,Choice beef net farm value,266.1665529,Cents per pound of retail equivalent
2018,May,5,Choice beef net farm value,267.5614213,Cents per pound of retail equivalent
2018,June,6,Choice beef net farm value,243.0028746,Cents per pound of retail equivalent
2018,July,7,Choice beef net farm value,247.619792,Cents per pound of retail equivalent
2018,August,8,Choice beef net farm value,245.2041972,Cents per pound of retail equivalent
2018,September,9,Choice beef net farm value,243.8882635,Cents per pound of retail equivalent
2018,October,10,Choice beef net farm value,249.9854203,Cents per pound of retail equivalent
2018,November,11,Choice beef net farm value,259.0906408,Cents per pound of retail equivalent
2018,December,12,Choice beef net farm value,265.3816585,Cents per pound of retail equivalent
2019,January,1,Choice beef net farm value,273.8254697,Cents per pound of retail equivalent
2019,February,2,Choice beef net farm value,277.0959653,Cents per pound of retail equivalent
2019,March,3,Choice beef net farm value,283.771998,Cents per pound of retail equivalent
2019,April,4,Choice beef net farm value,279.061153,Cents per pound of retail equivalent
2019,May,5,Choice beef net farm value,260.0038979,Cents per pound of retail equivalent
2019,June,6,Choice beef net farm value,243.7854239,Cents per pound of retail equivalent
2019,July,7,Choice beef net farm value,249.17426,Cents per pound of retail equivalent
2019,August,8,Choice beef net farm value,235.8872231,Cents per pound of retail equivalent
2019,September,9,Choice beef net farm value,223.1717132,Cents per pound of retail equivalent
2019,October,10,Choice beef net farm value,240.3637359,Cents per pound of retail equivalent
2019,November,11,Choice beef net farm value,254.9472798,Cents per pound of retail equivalent
2019,December,12,Choice beef net farm value,266.9618731,Cents per pound of retail equivalent
2020,January,1,Choice beef net farm value,273.7492089,Cents per pound of retail equivalent
2020,February,2,Choice beef net farm value,262.048032,Cents per pound of retail equivalent
2020,March,3,Choice beef net farm value,250.9982438,Cents per pound of retail equivalent
2020,April,4,Choice beef net farm value,234.4418821,Cents per pound of retail equivalent
2020,May,5,Choice beef net farm value,249.108329,Cents per pound of retail equivalent
2020,June,6,Choice beef net farm value,234.8972067,Cents per pound of retail equivalent
2020,July,7,Choice beef net farm value,213.8578823,Cents per pound of retail equivalent
2020,August,8,Choice beef net farm value,241.6378869,Cents per pound of retail equivalent
2020,September,9,Choice beef net farm value,232.9739004,Cents per pound of retail equivalent
2020,October,10,Choice beef net farm value,238.4016242,Cents per pound of retail equivalent
2020,November,11,Choice beef net farm value,245.5955339,Cents per pound of retail equivalent
2020,December,12,Choice beef net farm value,244.1180899,Cents per pound of retail equivalent
2021,January,1,Choice beef net farm value,248.3795881,Cents per pound of retail equivalent
2021,February,2,Choice beef net farm value,251.9025729,Cents per pound of retail equivalent
2021,March,3,Choice beef net farm value,251.2865535,Cents per pound of retail equivalent
2021,April,4,Choice beef net farm value,265.7723894,Cents per pound of retail equivalent
2021,May,5,Choice beef net farm value,263.2717454,Cents per pound of retail equivalent
2021,June,6,Choice beef net farm value,267.1082794,Cents per pound of retail equivalent
2021,July,7,Choice beef net farm value,259.0768701,Cents per pound of retail equivalent
2021,August,8,Choice beef net farm value,266.3471715,Cents per pound of retail equivalent
2021,September,9,Choice beef net farm value,270.8405227,Cents per pound of retail equivalent
2021,October,10,Choice beef net farm value,268.5267297,Cents per pound of retail equivalent
2021,November,11,Choice beef net farm value,287.9683661,Cents per pound of retail equivalent
2021,December,12,Choice beef net farm value,299.9706219,Cents per pound of retail equivalent
2022,January,1,Choice beef net farm value,298.3241645,Cents per pound of retail equivalent
2022,February,2,Choice beef net farm value,306.4915272,Cents per pound of retail equivalent
2022,March,3,Choice beef net farm value,298.7213229,Cents per pound of retail equivalent
2022,April,4,Choice beef net farm value,301.8243105,Cents per pound of retail equivalent
2022,May,5,Choice beef net farm value,314.5144376,Cents per pound of retail equivalent
2022,June,6,Choice beef net farm value,296.4295212,Cents per pound of retail equivalent
2022,July,7,Choice beef net farm value,294.5198343,Cents per pound of retail equivalent
2022,August,8,Choice beef net farm value,302.437341,Cents per pound of retail equivalent
2022,September,9,Choice beef net farm value,302.9225839,Cents per pound of retail equivalent
2022,October,10,Choice beef net farm value,312.5294251,Cents per pound of retail equivalent
2022,November,11,Choice beef net farm value,325.2220822,Cents per pound of retail equivalent
2022,December,12,Choice beef net farm value,334.816094,Cents per pound of retail equivalent
2023,January,1,Choice beef net farm value,339.5882567,Cents per pound of retail equivalent
2023,February,2,Choice beef net farm value,353.2657168,Cents per pound of retail equivalent
2023,March,3,Choice beef net farm value,360.8651649,Cents per pound of retail equivalent
2023,April,4,Choice beef net farm value,384.0247892,Cents per pound of retail equivalent
2023,May,5,Choice beef net farm value,377.2772479,Cents per pound of retail equivalent
2023,June,6,Choice beef net farm value,399.8046418,Cents per pound of retail equivalent
2023,July,7,Choice beef net farm value,395.6952347,Cents per pound of retail equivalent
2023,August,8,Choice beef net farm value,394.5557862,Cents per pound of retail equivalent
2023,September,9,Choice beef net farm value,399.839267,Cents per pound of retail equivalent
2023,October,10,Choice beef net farm value,403.4408049,Cents per pound of retail equivalent
2023,November,11,Choice beef net farm value,394.5213325,Cents per pound of retail equivalent
2023,December,12,Choice beef net farm value,379.8149593,Cents per pound of retail equivalent
2024,January,1,Choice beef net farm value,386.8873448,Cents per pound of retail equivalent
2024,February,2,Choice beef net farm value,399.8975671,Cents per pound of retail equivalent
2024,March,3,Choice beef net farm value,415.9780968,Cents per pound of retail equivalent
2024,April,4,Choice beef net farm value,406.7419691,Cents per pound of retail equivalent
2024,May,5,Choice beef net farm value,415.1997387,Cents per pound of retail equivalent
2024,June,6,Choice beef net farm value,421.1598002,Cents per pound of retail equivalent
2024,July,7,Choice beef net farm value,422.6077306,Cents per pound of retail equivalent
2024,August,8,Choice beef net farm value,414.9832933,Cents per pound of retail equivalent
2024,September,9,Choice beef net farm value,408.661111,Cents per pound of retail equivalent
2024,October,10,Choice beef net farm value,421.1847327,Cents per pound of retail equivalent
2024,November,11,Choice beef net farm value,419.3739259,Cents per pound of retail equivalent
2024,December,12,Choice beef net farm value,428.3867179,Cents per pound of retail equivalent
1970,January,1,Choice beef wholesale value,75.9,Cents per pound of retail equivalent
1970,February,2,Choice beef wholesale value,75.6,Cents per pound of retail equivalent
1970,March,3,Choice beef wholesale value,79.9,Cents per pound of retail equivalent
1970,April,4,Choice beef wholesale value,79.2,Cents per pound of retail equivalent
1970,May,5,Choice beef wholesale value,76.6,Cents per pound of retail equivalent
1970,June,6,Choice beef wholesale value,78.2,Cents per pound of retail equivalent
1970,July,7,Choice beef wholesale value,81.5,Cents per pound of retail equivalent
1970,August,8,Choice beef wholesale value,79.1,Cents per pound of retail equivalent
1970,September,9,Choice beef wholesale value,76.8,Cents per pound of retail equivalent
1970,October,10,Choice beef wholesale value,74.6,Cents per pound of retail equivalent
1970,November,11,Choice beef wholesale value,73.1,Cents per pound of retail equivalent
1970,December,12,Choice beef wholesale value,71.5,Cents per pound of retail equivalent
1971,January,1,Choice beef wholesale value,78.9,Cents per pound of retail equivalent
1971,February,2,Choice beef wholesale value,84,Cents per pound of retail equivalent
1971,March,3,Choice beef wholesale value,83.2,Cents per pound of retail equivalent
1971,April,4,Choice beef wholesale value,85.2,Cents per pound of retail equivalent
1971,May,5,Choice beef wholesale value,87.2,Cents per pound of retail equivalent
1971,June,6,Choice beef wholesale value,85.2,Cents per pound of retail equivalent
1971,July,7,Choice beef wholesale value,84.9,Cents per pound of retail equivalent
1971,August,8,Choice beef wholesale value,87,Cents per pound of retail equivalent
1971,September,9,Choice beef wholesale value,85.2,Cents per pound of retail equivalent
1971,October,10,Choice beef wholesale value,83.6,Cents per pound of retail equivalent
1971,November,11,Choice beef wholesale value,87.3,Cents per pound of retail equivalent
1971,December,12,Choice beef wholesale value,90.4,Cents per pound of retail equivalent
1972,January,1,Choice beef wholesale value,93,Cents per pound of retail equivalent
1972,February,2,Choice beef wholesale value,93.1,Cents per pound of retail equivalent
1972,March,3,Choice beef wholesale value,89.2,Cents per pound of retail equivalent
1972,April,4,Choice beef wholesale value,87.2,Cents per pound of retail equivalent
1972,May,5,Choice beef wholesale value,91.5,Cents per pound of retail equivalent
1972,June,6,Choice beef wholesale value,96,Cents per pound of retail equivalent
1972,July,7,Choice beef wholesale value,95.1,Cents per pound of retail equivalent
1972,August,8,Choice beef wholesale value,88.6,Cents per pound of retail equivalent
1972,September,9,Choice beef wholesale value,86.6,Cents per pound of retail equivalent
1972,October,10,Choice beef wholesale value,86.2,Cents per pound of retail equivalent
1972,November,11,Choice beef wholesale value,83.7,Cents per pound of retail equivalent
1972,December,12,Choice beef wholesale value,93.1,Cents per pound of retail equivalent
1973,January,1,Choice beef wholesale value,102,Cents per pound of retail equivalent
1973,February,2,Choice beef wholesale value,108.1,Cents per pound of retail equivalent
1973,March,3,Choice beef wholesale value,112,Cents per pound of retail equivalent
1973,April,4,Choice beef wholesale value,112.5,Cents per pound of retail equivalent
1973,May,5,Choice beef wholesale value,111.8,Cents per pound of retail equivalent
1973,June,6,Choice beef wholesale value,114.4,Cents per pound of retail equivalent
1973,July,7,Choice beef wholesale value,115.8,Cents per pound of retail equivalent
1973,August,8,Choice beef wholesale value,126.3,Cents per pound of retail equivalent
1973,September,9,Choice beef wholesale value,115.1,Cents per pound of retail equivalent
1973,October,10,Choice beef wholesale value,104.6,Cents per pound of retail equivalent
1973,November,11,Choice beef wholesale value,101.7,Cents per pound of retail equivalent
1973,December,12,Choice beef wholesale value,105.4,Cents per pound of retail equivalent
1974,January,1,Choice beef wholesale value,121,Cents per pound of retail equivalent
1974,February,2,Choice beef wholesale value,122.8,Cents per pound of retail equivalent
1974,March,3,Choice beef wholesale value,108.8,Cents per pound of retail equivalent
1974,April,4,Choice beef wholesale value,107.3,Cents per pound of retail equivalent
1974,May,5,Choice beef wholesale value,107.9,Cents per pound of retail equivalent
1974,June,6,Choice beef wholesale value,101.8,Cents per pound of retail equivalent
1974,July,7,Choice beef wholesale value,116.8,Cents per pound of retail equivalent
1974,August,8,Choice beef wholesale value,120.4,Cents per pound of retail equivalent
1974,September,9,Choice beef wholesale value,108.7,Cents per pound of retail equivalent
1974,October,10,Choice beef wholesale value,105.5,Cents per pound of retail equivalent
1974,November,11,Choice beef wholesale value,101.4,Cents per pound of retail equivalent
1974,December,12,Choice beef wholesale value,98.9,Cents per pound of retail equivalent
1975,January,1,Choice beef wholesale value,100.3,Cents per pound of retail equivalent
1975,February,2,Choice beef wholesale value,95.6,Cents per pound of retail equivalent
1975,March,3,Choice beef wholesale value,97.5,Cents per pound of retail equivalent
1975,April,4,Choice beef wholesale value,114.3,Cents per pound of retail equivalent
1975,May,5,Choice beef wholesale value,130.9,Cents per pound of retail equivalent
1975,June,6,Choice beef wholesale value,139.2,Cents per pound of retail equivalent
1975,July,7,Choice beef wholesale value,135.2,Cents per pound of retail equivalent
1975,August,8,Choice beef wholesale value,126.7,Cents per pound of retail equivalent
1975,September,9,Choice beef wholesale value,129.3,Cents per pound of retail equivalent
1975,October,10,Choice beef wholesale value,123.1,Cents per pound of retail equivalent
1975,November,11,Choice beef wholesale value,118.6,Cents per pound of retail equivalent
1975,December,12,Choice beef wholesale value,119.3,Cents per pound of retail equivalent
1976,January,1,Choice beef wholesale value,109.9,Cents per pound of retail equivalent
1976,February,2,Choice beef wholesale value,102.1,Cents per pound of retail equivalent
1976,March,3,Choice beef wholesale value,94.1,Cents per pound of retail equivalent
1976,April,4,Choice beef wholesale value,109,Cents per pound of retail equivalent
1976,May,5,Choice beef wholesale value,104.4,Cents per pound of retail equivalent
1976,June,6,Choice beef wholesale value,103.2,Cents per pound of retail equivalent
1976,July,7,Choice beef wholesale value,96,Cents per pound of retail equivalent
1976,August,8,Choice beef wholesale value,94.6,Cents per pound of retail equivalent
1976,September,9,Choice beef wholesale value,94.9,Cents per pound of retail equivalent
1976,October,10,Choice beef wholesale value,96.3,Cents per pound of retail equivalent
1976,November,11,Choice beef wholesale value,100.5,Cents per pound of retail equivalent
1976,December,12,Choice beef wholesale value,103.5,Cents per pound of retail equivalent
1977,January,1,Choice beef wholesale value,99.1,Cents per pound of retail equivalent
1977,February,2,Choice beef wholesale value,97.5,Cents per pound of retail equivalent
1977,March,3,Choice beef wholesale value,94.6,Cents per pound of retail equivalent
1977,April,4,Choice beef wholesale value,100.1,Cents per pound of retail equivalent
1977,May,5,Choice beef wholesale value,105.7,Cents per pound of retail equivalent
1977,June,6,Choice beef wholesale value,103.3,Cents per pound of retail equivalent
1977,July,7,Choice beef wholesale value,104.4,Cents per pound of retail equivalent
1977,August,8,Choice beef wholesale value,102.5,Cents per pound of retail equivalent
1977,September,9,Choice beef wholesale value,103.4,Cents per pound of retail equivalent
1977,October,10,Choice beef wholesale value,108.4,Cents per pound of retail equivalent
1977,November,11,Choice beef wholesale value,108.1,Cents per pound of retail equivalent
1977,December,12,Choice beef wholesale value,111.8,Cents per pound of retail equivalent
1978,January,1,Choice beef wholesale value,112.4,Cents per pound of retail equivalent
1978,February,2,Choice beef wholesale value,116.5,Cents per pound of retail equivalent
1978,March,3,Choice beef wholesale value,122.7,Cents per pound of retail equivalent
1978,April,4,Choice beef wholesale value,133.2,Cents per pound of retail equivalent
1978,May,5,Choice beef wholesale value,144.8,Cents per pound of retail equivalent
1978,June,6,Choice beef wholesale value,141.3,Cents per pound of retail equivalent
1978,July,7,Choice beef wholesale value,138,Cents per pound of retail equivalent
1978,August,8,Choice beef wholesale value,130.5,Cents per pound of retail equivalent
1978,September,9,Choice beef wholesale value,134.1,Cents per pound of retail equivalent
1978,October,10,Choice beef wholesale value,133.7,Cents per pound of retail equivalent
1978,November,11,Choice beef wholesale value,131.2,Cents per pound of retail equivalent
1978,December,12,Choice beef wholesale value,138.4,Cents per pound of retail equivalent
1979,January,1,Choice beef wholesale value,152.5,Cents per pound of retail equivalent
1979,February,2,Choice beef wholesale value,159.6,Cents per pound of retail equivalent
1979,March,3,Choice beef wholesale value,170.2,Cents per pound of retail equivalent
1979,April,4,Choice beef wholesale value,176.6,Cents per pound of retail equivalent
1979,May,5,Choice beef wholesale value,176.6,Cents per pound of retail equivalent
1979,June,6,Choice beef wholesale value,167.8,Cents per pound of retail equivalent
1979,July,7,Choice beef wholesale value,162.9,Cents per pound of retail equivalent
1979,August,8,Choice beef wholesale value,154,Cents per pound of retail equivalent
1979,September,9,Choice beef wholesale value,167.1,Cents per pound of retail equivalent
1979,October,10,Choice beef wholesale value,160.6,Cents per pound of retail equivalent
1979,November,11,Choice beef wholesale value,169.3,Cents per pound of retail equivalent
1979,December,12,Choice beef wholesale value,171.4,Cents per pound of retail equivalent
1980,January,1,Choice beef wholesale value,167.5,Cents per pound of retail equivalent
1980,February,2,Choice beef wholesale value,170.2,Cents per pound of retail equivalent
1980,March,3,Choice beef wholesale value,169.4,Cents per pound of retail equivalent
1980,April,4,Choice beef wholesale value,163.2,Cents per pound of retail equivalent
1980,May,5,Choice beef wholesale value,167.6,Cents per pound of retail equivalent
1980,June,6,Choice beef wholesale value,172.2,Cents per pound of retail equivalent
1980,July,7,Choice beef wholesale value,179.7,Cents per pound of retail equivalent
1980,August,8,Choice beef wholesale value,182.1,Cents per pound of retail equivalent
1980,September,9,Choice beef wholesale value,176.3,Cents per pound of retail equivalent
1980,October,10,Choice beef wholesale value,172.4,Cents per pound of retail equivalent
1980,November,11,Choice beef wholesale value,166.8,Cents per pound of retail equivalent
1980,December,12,Choice beef wholesale value,165.5,Cents per pound of retail equivalent
1981,January,1,Choice beef wholesale value,165.7,Cents per pound of retail equivalent
1981,February,2,Choice beef wholesale value,159.2,Cents per pound of retail equivalent
1981,March,3,Choice beef wholesale value,155.5,Cents per pound of retail equivalent
1981,April,4,Choice beef wholesale value,161.5,Cents per pound of retail equivalent
1981,May,5,Choice beef wholesale value,170.8,Cents per pound of retail equivalent
1981,June,6,Choice beef wholesale value,174.4,Cents per pound of retail equivalent
1981,July,7,Choice beef wholesale value,176,Cents per pound of retail equivalent
1981,August,8,Choice beef wholesale value,169.7,Cents per pound of retail equivalent
1981,September,9,Choice beef wholesale value,169.4,Cents per pound of retail equivalent
1981,October,10,Choice beef wholesale value,158.8,Cents per pound of retail equivalent
1981,November,11,Choice beef wholesale value,156.5,Cents per pound of retail equivalent
1981,December,12,Choice beef wholesale value,155.2,Cents per pound of retail equivalent
1982,January,1,Choice beef wholesale value,159.8,Cents per pound of retail equivalent
1982,February,2,Choice beef wholesale value,165.2,Cents per pound of retail equivalent
1982,March,3,Choice beef wholesale value,170.2,Cents per pound of retail equivalent
1982,April,4,Choice beef wholesale value,178.6,Cents per pound of retail equivalent
1982,May,5,Choice beef wholesale value,187.1,Cents per pound of retail equivalent
1982,June,6,Choice beef wholesale value,181,Cents per pound of retail equivalent
1982,July,7,Choice beef wholesale value,168,Cents per pound of retail equivalent
1982,August,8,Choice beef wholesale value,165.4,Cents per pound of retail equivalent
1982,September,9,Choice beef wholesale value,157.4,Cents per pound of retail equivalent
1982,October,10,Choice beef wholesale value,153,Cents per pound of retail equivalent
1982,November,11,Choice beef wholesale value,152.7,Cents per pound of retail equivalent
1982,December,12,Choice beef wholesale value,152.7,Cents per pound of retail equivalent
1983,January,1,Choice beef wholesale value,154.7,Cents per pound of retail equivalent
1983,February,2,Choice beef wholesale value,158.5,Cents per pound of retail equivalent
1983,March,3,Choice beef wholesale value,165.5,Cents per pound of retail equivalent
1983,April,4,Choice beef wholesale value,176.5,Cents per pound of retail equivalent
1983,May,5,Choice beef wholesale value,171.6,Cents per pound of retail equivalent
1983,June,6,Choice beef wholesale value,167.4,Cents per pound of retail equivalent
1983,July,7,Choice beef wholesale value,160.2,Cents per pound of retail equivalent
1983,August,8,Choice beef wholesale value,154.6,Cents per pound of retail equivalent
1983,September,9,Choice beef wholesale value,149.8,Cents per pound of retail equivalent
1983,October,10,Choice beef wholesale value,149.5,Cents per pound of retail equivalent
1983,November,11,Choice beef wholesale value,149.7,Cents per pound of retail equivalent
1983,December,12,Choice beef wholesale value,163.3,Cents per pound of retail equivalent
1984,January,1,Choice beef wholesale value,171.6,Cents per pound of retail equivalent
1984,February,2,Choice beef wholesale value,167.5,Cents per pound of retail equivalent
1984,March,3,Choice beef wholesale value,170.7,Cents per pound of retail equivalent
1984,April,4,Choice beef wholesale value,168.3,Cents per pound of retail equivalent
1984,May,5,Choice beef wholesale value,161.7,Cents per pound of retail equivalent
1984,June,6,Choice beef wholesale value,159,Cents per pound of retail equivalent
1984,July,7,Choice beef wholesale value,163.5,Cents per pound of retail equivalent
1984,August,8,Choice beef wholesale value,158.5,Cents per pound of retail equivalent
1984,September,9,Choice beef wholesale value,153.4,Cents per pound of retail equivalent
1984,October,10,Choice beef wholesale value,150.4,Cents per pound of retail equivalent
1984,November,11,Choice beef wholesale value,161.3,Cents per pound of retail equivalent
1984,December,12,Choice beef wholesale value,164.6,Cents per pound of retail equivalent
1985,January,1,Choice beef wholesale value,161.8,Cents per pound of retail equivalent
1985,February,2,Choice beef wholesale value,158.9,Cents per pound of retail equivalent
1985,March,3,Choice beef wholesale value,150.8,Cents per pound of retail equivalent
1985,April,4,Choice beef wholesale value,146.3,Cents per pound of retail equivalent
1985,May,5,Choice beef wholesale value,146.4,Cents per pound of retail equivalent
1985,June,6,Choice beef wholesale value,144.5,Cents per pound of retail equivalent
1985,July,7,Choice beef wholesale value,135,Cents per pound of retail equivalent
1985,August,8,Choice beef wholesale value,131.9,Cents per pound of retail equivalent
1985,September,9,Choice beef wholesale value,133.7,Cents per pound of retail equivalent
1985,October,10,Choice beef wholesale value,149.7,Cents per pound of retail equivalent
1985,November,11,Choice beef wholesale value,163.8,Cents per pound of retail equivalent
1985,December,12,Choice beef wholesale value,162.6,Cents per pound of retail equivalent
1986,January,1,Choice beef wholesale value,152.6,Cents per pound of retail equivalent
1986,February,2,Choice beef wholesale value,143.1,Cents per pound of retail equivalent
1986,March,3,Choice beef wholesale value,141,Cents per pound of retail equivalent
1986,April,4,Choice beef wholesale value,137.8,Cents per pound of retail equivalent
1986,May,5,Choice beef wholesale value,142.8,Cents per pound of retail equivalent
1986,June,6,Choice beef wholesale value,138.4,Cents per pound of retail equivalent
1986,July,7,Choice beef wholesale value,146.9,Cents per pound of retail equivalent
1986,August,8,Choice beef wholesale value,149.3,Cents per pound of retail equivalent
1986,September,9,Choice beef wholesale value,149.5,Cents per pound of retail equivalent
1986,October,10,Choice beef wholesale value,150.9,Cents per pound of retail equivalent
1986,November,11,Choice beef wholesale value,156,Cents per pound of retail equivalent
1986,December,12,Choice beef wholesale value,150.1,Cents per pound of retail equivalent
1987,January,1,Choice beef wholesale value,147.5,Cents per pound of retail equivalent
1987,February,2,Choice beef wholesale value,151.4,Cents per pound of retail equivalent
1987,March,3,Choice beef wholesale value,153.6,Cents per pound of retail equivalent
1987,April,4,Choice beef wholesale value,166.1,Cents per pound of retail equivalent
1987,May,5,Choice beef wholesale value,176,Cents per pound of retail equivalent
1987,June,6,Choice beef wholesale value,173.5,Cents per pound of retail equivalent
1987,July,7,Choice beef wholesale value,163.8,Cents per pound of retail equivalent
1987,August,8,Choice beef wholesale value,157,Cents per pound of retail equivalent
1987,September,9,Choice beef wholesale value,159.5,Cents per pound of retail equivalent
1987,October,10,Choice beef wholesale value,159.2,Cents per pound of retail equivalent
1987,November,11,Choice beef wholesale value,156.8,Cents per pound of retail equivalent
1987,December,12,Choice beef wholesale value,155.4,Cents per pound of retail equivalent
1988,January,1,Choice beef wholesale value,159.3,Cents per pound of retail equivalent
1988,February,2,Choice beef wholesale value,163.3,Cents per pound of retail equivalent
1988,March,3,Choice beef wholesale value,169.6,Cents per pound of retail equivalent
1988,April,4,Choice beef wholesale value,172.6,Cents per pound of retail equivalent
1988,May,5,Choice beef wholesale value,183,Cents per pound of retail equivalent
1988,June,6,Choice beef wholesale value,174.2,Cents per pound of retail equivalent
1988,July,7,Choice beef wholesale value,159.2,Cents per pound of retail equivalent
1988,August,8,Choice beef wholesale value,165.7,Cents per pound of retail equivalent
1988,September,9,Choice beef wholesale value,169.1,Cents per pound of retail equivalent
1988,October,10,Choice beef wholesale value,171.1,Cents per pound of retail equivalent
1988,November,11,Choice beef wholesale value,171.8,Cents per pound of retail equivalent
1988,December,12,Choice beef wholesale value,174.1,Cents per pound of retail equivalent
1989,January,1,Choice beef wholesale value,175.2,Cents per pound of retail equivalent
1989,February,2,Choice beef wholesale value,176.3,Cents per pound of retail equivalent
1989,March,3,Choice beef wholesale value,180.5,Cents per pound of retail equivalent
1989,April,4,Choice beef wholesale value,182.7,Cents per pound of retail equivalent
1989,May,5,Choice beef wholesale value,182.3,Cents per pound of retail equivalent
1989,June,6,Choice beef wholesale value,176.3,Cents per pound of retail equivalent
1989,July,7,Choice beef wholesale value,174.2,Cents per pound of retail equivalent
1989,August,8,Choice beef wholesale value,173.7,Cents per pound of retail equivalent
1989,September,9,Choice beef wholesale value,169.6,Cents per pound of retail equivalent
1989,October,10,Choice beef wholesale value,169.5,Cents per pound of retail equivalent
1989,November,11,Choice beef wholesale value,177.1,Cents per pound of retail equivalent
1989,December,12,Choice beef wholesale value,183.8,Cents per pound of retail equivalent
